marca,codigo,parte_cuerpo,limite_inferior,limite_superior,talla,genero,prenda
iO,io,caderas,90,94,M,F,top
iO,io,caderas,94,200,L,F,top
iO,io,cintura,0,62,34,F,inferior
iO,io,cintura,62,66,36,F,inferior
iO,io,cintura,66,71,38,F,inferior
iO,io,cintura,71,76,40,F,inferior
iO,io,cintura,76,81,42,F,inferior
iO,io,cintura,81,200,44,F,inferior
iO,io,caderas,0,88,34,F,inferior
iO,io,caderas,88,92,36,F,inferior
iO,io,caderas,92,97,38,F,inferior
iO,io,caderas,97,102,40,F,inferior
iO,io,caderas,102,107,42,F,inferior
iO,io,caderas,107,200,44,F,inferior
,,,,,,,
JJO,jjo,pecho,0,80,XS,F,top
JJO,jjo,pecho,80,84,S,F,top
JJO,jjo,pecho,84,89,M,F,top
JJO,jjo,pecho,89,94,L,F,top
JJO,jjo,pecho,94,200,XL,F,top
JJO,jjo,cintura,0,62,XS,F,top
JJO,jjo,cintura,62,66,S,F,top
JJO,jjo,cintura,66,71,M,F,top
JJO,jjo,cintura,71,76,L,F,top
JJO,jjo,cintura,76,200,XL,F,top
JJO,jjo,caderas,0,88,XS,F,top
JJO,jjo,caderas,88,92,S,F,top
JJO,jjo,caderas,92,97,M,F,top
JJO,jjo,caderas,97,102,L,F,top
JJO,jjo,caderas,102,200,XL,F,top
JJO,jjo,cintura,0,64,34,F,inferior
JJO,jjo,cintura,64,68,36,F,inferior
JJO,jjo,cintura,68,72,38,F,inferior
JJO,jjo,cintura,72,76,40,F,inferior
JJO,jjo,cintura,76,81,42,F,inferior
JJO,jjo,cintura,81,86,44,F,inferior
JJO,jjo,cintura,86,91,46,F,inferior
JJO,jjo,cintura,91,200,48,F,inferior
JJO,jjo,caderas,0,92,34,F,inferior
JJO,jjo,caderas,92,96,36,F,inferior
JJO,jjo,caderas,96,100,38,F,inferior
JJO,jjo,caderas,100,104,40,F,inferior
JJO,jjo,caderas,104,108,42,F,inferior
JJO,jjo,caderas,108,112,44,F,inferior
JJO,jjo,caderas,112,117,46,F,inferior
JJO,jjo,caderas,117,200,48,F,inferior
,,,,,,,
Marittimo,marittimo,pecho,0,82,XS,F,top
Marittimo,marittimo,pecho,82,86,S,F,top
Marittimo,marittimo,pecho,86,90,M,F,top
Marittimo,marittimo,pecho,90,200,L,F,top
Marittimo,marittimo,cintura,0,78,XS,F,top
Marittimo,marittimo,cintura,78,82,S,F,top
Marittimo,marittimo,cintura,82,86,M,F,top
Marittimo,marittimo,cintura,86,200,L,F,top
Marittimo,marittimo,caderas,0,86,XS,F,top
Marittimo,marittimo,caderas,86,90,S,F,top
Marittimo,marittimo,caderas,90,94,M,F,top
Marittimo,marittimo,caderas,94,200,L,F,top
Marittimo,marittimo,cintura,0,62,34,F,inferior
Marittimo,marittimo,cintura,62,66,36,F,inferior
Marittimo,marittimo,cintura,66,71,38,F,inferior
Marittimo,marittimo,cintura,71,76,40,F,inferior
Marittimo,marittimo,cintura,76,81,42,F,inferior
Marittimo,marittimo,cintura,81,200,44,F,inferior
Marittimo,marittimo,caderas,0,88,34,F,inferior
Marittimo,marittimo,caderas,88,92,36,F,inferior
Marittimo,marittimo,caderas,92,97,38,F,inferior
Marittimo,marittimo,caderas,97,102,40,F,inferior
Marittimo,marittimo,caderas,102,107,42,F,inferior
Marittimo,marittimo,caderas,107,200,44,F,inferior
,,,,,,,
Maui,maui,pecho,0,82,XS,F,top
Maui,maui,pecho,82,86,S,F,top
Maui,maui,pecho,86,90,M,F,top
Maui,maui,pecho,90,200,L,F,top
Maui,maui,cintura,0,78,XS,F,top
Maui,maui,cintura,78,82,S,F,top
Maui,maui,cintura,82,86,M,F,top
Maui,maui,cintura,86,200,L,F,top
Maui,maui,caderas,0,86,XS,F,top
Maui,maui,caderas,86,90,S,F,top
Maui,maui,caderas,90,94,M,F,top
Maui,maui,caderas,94,200,L,F,top
,,,,,,,
Opposite,opposite,pecho,0,82,XS,F,top
Opposite,opposite,pecho,82,86,S,F,top
Opposite,opposite,pecho,86,90,M,F,top
Opposite,opposite,pecho,90,200,L,F,top
Opposite,opposite,cintura,0,78,XS,F,top
Opposite,opposite,cintura,78,82,S,F,top
Opposite,opposite,cintura,82,86,M,F,top
Opposite,opposite,cintura,86,200,L,F,top
Opposite,opposite,caderas,0,86,XS,F,top
Opposite,opposite,caderas,86,90,S,F,top
Opposite,opposite,caderas,90,94,M,F,top
Opposite,opposite,caderas,94,200,L,F,top
Opposite,opposite,cintura,0,62,34,F,inferior
Opposite,opposite,cintura,62,66,36,F,inferior
Opposite,opposite,cintura,66,71,38,F,inferior
Opposite,opposite,cintura,71,76,40,F,inferior
Opposite,opposite,cintura,76,81,42,F,inferior
Opposite,opposite,cintura,81,200,44,F,inferior
Opposite,opposite,caderas,0,88,34,F,inferior
Opposite,opposite,caderas,88,92,36,F,inferior
Opposite,opposite,caderas,92,97,38,F,inferior
Opposite,opposite,caderas,97,102,40,F,inferior
Opposite,opposite,caderas,102,107,42,F,inferior
Opposite,opposite,caderas,107,200,44,F,inferior
,,,,,,,
Rainforest,rainforest,pecho,100,106,S,F,top
Rainforest,rainforest,pecho,106,112,M,F,top
Rainforest,rainforest,pecho,112,118,L,F,top
Rainforest,rainforest,pecho,118,124,XL,F,top
Rainforest,rainforest,pecho,124,130,XXL,F,top
Rainforest,rainforest,cintura,82,88,S,F,top
Rainforest,rainforest,cintura,88,94,M,F,top
Rainforest,rainforest,cintura,94,100,L,F,top
Rainforest,rainforest,cintura,100,106,XL,F,top
Rainforest,rainforest,cintura,106,112,XXL,F,top
Rainforest,rainforest,caderas,110,116,S,F,top
Rainforest,rainforest,caderas,116,122,M,F,top
Rainforest,rainforest,caderas,122,128,L,F,top
Rainforest,rainforest,caderas,128,134,XL,F,top
Rainforest,rainforest,caderas,134,140,XXL,F,top
Rainforest,rainforest,cintura,0,86,40,F,inferior
Rainforest,rainforest,cintura,86,90,42,F,inferior
Rainforest,rainforest,cintura,90,94,44,F,inferior
Rainforest,rainforest,cintura,94,99,46,F,inferior
Rainforest,rainforest,cintura,99,104,48,F,inferior
Rainforest,rainforest,cintura,104,108,50,F,inferior
Rainforest,rainforest,cintura,108,200,52,F,inferior
Rainforest,rainforest,caderas,0,112,40,F,inferior
Rainforest,rainforest,caderas,112,116,42,F,inferior
Rainforest,rainforest,caderas,116,120,44,F,inferior
Rainforest,rainforest,caderas,120,124,46,F,inferior
Rainforest,rainforest,caderas,124,128,48,F,inferior
Rainforest,rainforest,caderas,128,132,50,F,inferior
Rainforest,rainforest,caderas,132,200,52,F,inferior
,,,,,,,
Reef,reef,pecho,0,80,XS,F,top
Reef,reef,pecho,80,84,S,F,top
Reef,reef,pecho,84,89,M,F,top
Reef,reef,pecho,89,94,L,F,top
Reef,reef,pecho,94,200,XL,F,top
Reef,reef,cintura,0,62,XS,F,top
Reef,reef,cintura,62,66,S,F,top
Reef,reef,cintura,66,71,M,F,top
Reef,reef,cintura,71,76,L,F,top
Reef,reef,cintura,76,200,XL,F,top
Reef,reef,caderas,0,88,XS,F,top
Reef,reef,caderas,88,92,S,F,top
Reef,reef,caderas,92,97,M,F,top
Reef,reef,caderas,97,102,L,F,top
Reef,reef,caderas,102,200,XL,F,top
Reef,reef,cintura,0,62,34,F,inferior
Reef,reef,cintura,62,66,36,F,inferior
Reef,reef,cintura,66,71,38,F,inferior
Reef,reef,cintura,71,76,40,F,inferior
Reef,reef,cintura,76,81,42,F,inferior
Reef,reef,cintura,81,200,44,F,inferior
Reef,reef,caderas,0,88,34,F,inferior
Reef,reef,caderas,88,92,36,F,inferior
Reef,reef,caderas,92,97,38,F,inferior
Reef,reef,caderas,97,102,40,F,inferior
Reef,reef,caderas,102,107,42,F,inferior
Reef,reef,caderas,107,200,44,F,inferior
,,,,,,,
Umbrale,umbrale,pecho,0,84,XS,F,top
Umbrale,umbrale,pecho,84,89,S,F,top
Umbrale,umbrale,pecho,89,95,M,F,top
Umbrale,umbrale,pecho,95,101,L,F,top
Umbrale,umbrale,pecho,101,200,XL,F,top
Umbrale,umbrale,cintura,0,94,XS,F,top
Umbrale,umbrale,cintura,94,69,S,F,top
Umbrale,umbrale,cintura,69,75,M,F,top
Umbrale,umbrale,cintura,75,82,L,F,top
Umbrale,umbrale,cintura,82,200,XL,F,top
Umbrale,umbrale,caderas,0,92,XS,F,top
Umbrale,umbrale,caderas,92,97,S,F,top
Umbrale,umbrale,caderas,97,103,M,F,top
Umbrale,umbrale,caderas,103,109,L,F,top
Umbrale,umbrale,caderas,109,200,XL,F,top
Umbrale,umbrale,cintura,0,64,34,F,inferior
Umbrale,umbrale,cintura,64,68,36,F,inferior
Umbrale,umbrale,cintura,68,72,38,F,inferior
Umbrale,umbrale,cintura,72,76,40,F,inferior
Umbrale,umbrale,cintura,76,81,42,F,inferior
Umbrale,umbrale,cintura,81,86,44,F,inferior
Umbrale,umbrale,cintura,86,200,46,F,inferior
Umbrale,umbrale,caderas,0,92,34,F,inferior
Umbrale,umbrale,caderas,92,96,36,F,inferior
Umbrale,umbrale,caderas,96,100,38,F,inferior
Umbrale,umbrale,caderas,100,104,40,F,inferior
Umbrale,umbrale,caderas,104,108,42,F,inferior
Umbrale,umbrale,caderas,108,112,44,F,inferior
Umbrale,umbrale,caderas,112,200,46,F,inferior
,,,,,,,
Viaressa,viaressa,pecho,100,106,S,F,top
Viaressa,viaressa,pecho,106,112,M,F,top
Viaressa,viaressa,pecho,112,118,L,F,top
Viaressa,viaressa,pecho,118,124,XL,F,top
Viaressa,viaressa,pecho,124,130,XXL,F,top
Viaressa,viaressa,cintura,82,88,S,F,top
Viaressa,viaressa,cintura,88,94,M,F,top
Viaressa,viaressa,cintura,94,100,L,F,top
Viaressa,viaressa,cintura,100,106,XL,F,top
Viaressa,viaressa,cintura,106,112,XXL,F,top
Viaressa,viaressa,caderas,110,116,S,F,top
Viaressa,viaressa,caderas,116,122,M,F,top
Viaressa,viaressa,caderas,122,128,L,F,top
Viaressa,viaressa,caderas,128,134,XL,F,top
Viaressa,viaressa,caderas,134,140,XXL,F,top
Viaressa,viaressa,cintura,0,86,40,F,inferior
Viaressa,viaressa,cintura,86,90,42,F,inferior
Viaressa,viaressa,cintura,90,94,44,F,inferior
Viaressa,viaressa,cintura,94,99,46,F,inferior
Viaressa,viaressa,cintura,99,104,48,F,inferior
Viaressa,viaressa,cintura,104,108,50,F,inferior
Viaressa,viaressa,cintura,108,200,52,F,inferior
Viaressa,viaressa,caderas,0,112,40,F,inferior
Viaressa,viaressa,caderas,112,116,42,F,inferior
Viaressa,viaressa,caderas,116,120,44,F,inferior
Viaressa,viaressa,caderas,120,124,46,F,inferior
Viaressa,viaressa,caderas,124,128,48,F,inferior
Viaressa,viaressa,caderas,128,132,50,F,inferior
Viaressa,viaressa,caderas,132,200,52,F,inferior
,,,,,,,
Wados,wados,pecho,0,82,XS,F,top
Wados,wados,pecho,82,86,S,F,top
Wados,wados,pecho,86,90,M,F,top
Wados,wados,pecho,90,94,L,F,top
Wados,wados,pecho,94,200,XL,F,top
Wados,wados,cintura,0,78,XS,F,top
Wados,wados,cintura,78,82,S,F,top
Wados,wados,cintura,82,86,M,F,top
Wados,wados,cintura,86,90,L,F,top
Wados,wados,cintura,90,200,XL,F,top
Wados,wados,caderas,0,86,XS,F,top
Wados,wados,caderas,86,90,S,F,top
Wados,wados,caderas,90,94,M,F,top
Wados,wados,caderas,94,99,L,F,top
Wados,wados,caderas,99,200,XL,F,top
Wados,wados,cintura,0,70,34,F,inferior
Wados,wados,cintura,70,74,36,F,inferior
Wados,wados,cintura,74,78,38,F,inferior
Wados,wados,cintura,78,82,40,F,inferior
Wados,wados,cintura,82,86,42,F,inferior
Wados,wados,cintura,86,90,44,F,inferior
Wados,wados,cintura,90,200,46,F,inferior
Wados,wados,caderas,0,86,34,F,inferior
Wados,wados,caderas,86,90,36,F,inferior
Wados,wados,caderas,90,94,38,F,inferior
Wados,wados,caderas,94,98,40,F,inferior
Wados,wados,caderas,98,101,42,F,inferior
Wados,wados,caderas,101,103,44,F,inferior
Wados,wados,caderas,103,200,46,F,inferior
,,,,,,,
Doo Australia,dooaustralia,pecho,0,84,XS,F,top
Doo Australia,dooaustralia,pecho,84,88,S,F,top
Doo Australia,dooaustralia,pecho,88,93,M,F,top
Doo Australia,dooaustralia,pecho,93,98,L,F,top
Doo Australia,dooaustralia,pecho,98,200,XL,F,top
Doo Australia,dooaustralia,cintura,0,84,XS,F,top
Doo Australia,dooaustralia,cintura,84,86,S,F,top
Doo Australia,dooaustralia,cintura,86,73,M,F,top
Doo Australia,dooaustralia,cintura,73,79,L,F,top
Doo Australia,dooaustralia,cintura,79,200,XL,F,top
Doo Australia,dooaustralia,caderas,0,90,XS,F,top
Doo Australia,dooaustralia,caderas,90,94,S,F,top
Doo Australia,dooaustralia,caderas,94,99,M,F,top
Doo Australia,dooaustralia,caderas,99,104,L,F,top
Doo Australia,dooaustralia,caderas,104,200,XL,F,top
Doo Australia,dooaustralia,cintura,0,60,34,F,inferior
Doo Australia,dooaustralia,cintura,60,64,36,F,inferior
Doo Australia,dooaustralia,cintura,64,68,38,F,inferior
Doo Australia,dooaustralia,cintura,68,73,40,F,inferior
Doo Australia,dooaustralia,cintura,73,78,42,F,inferior
Doo Australia,dooaustralia,cintura,78,83,44,F,inferior
Doo Australia,dooaustralia,cintura,83,200,46,F,inferior
Doo Australia,dooaustralia,caderas,0,86,34,F,inferior
Doo Australia,dooaustralia,caderas,86,90,36,F,inferior
Doo Australia,dooaustralia,caderas,90,94,38,F,inferior
Doo Australia,dooaustralia,caderas,94,98,40,F,inferior
Doo Australia,dooaustralia,caderas,98,103,42,F,inferior
Doo Australia,dooaustralia,caderas,103,109,44,F,inferior
Doo Australia,dooaustralia,caderas,109,200,46,F,inferior
,,,,,,,
Mossimo,mossimo,pecho,0,84,XS,F,top
Mossimo,mossimo,pecho,84,88,S,F,top
Mossimo,mossimo,pecho,88,93,M,F,top
Mossimo,mossimo,pecho,93,98,L,F,top
Mossimo,mossimo,pecho,98,200,XL,F,top
Mossimo,mossimo,cintura,0,84,XS,F,top
Mossimo,mossimo,cintura,84,86,S,F,top
Mossimo,mossimo,cintura,86,73,M,F,top
Mossimo,mossimo,cintura,73,79,L,F,top
Mossimo,mossimo,cintura,79,200,XL,F,top
Mossimo,mossimo,caderas,0,90,XS,F,top
Mossimo,mossimo,caderas,90,94,S,F,top
Mossimo,mossimo,caderas,94,99,M,F,top
Mossimo,mossimo,caderas,99,104,L,F,top
Mossimo,mossimo,caderas,104,200,XL,F,top
Mossimo,mossimo,cintura,0,60,34,F,inferior
Mossimo,mossimo,cintura,60,64,36,F,inferior
Mossimo,mossimo,cintura,64,68,38,F,inferior
Mossimo,mossimo,cintura,68,73,40,F,inferior
Mossimo,mossimo,cintura,73,78,42,F,inferior
Mossimo,mossimo,cintura,78,83,44,F,inferior
Mossimo,mossimo,cintura,83,200,46,F,inferior
Mossimo,mossimo,caderas,0,86,34,F,inferior
Mossimo,mossimo,caderas,86,90,36,F,inferior
Mossimo,mossimo,caderas,90,94,38,F,inferior
Mossimo,mossimo,caderas,94,98,40,F,inferior
Mossimo,mossimo,caderas,98,103,42,F,inferior
Mossimo,mossimo,caderas,103,109,44,F,inferior
Mossimo,mossimo,caderas,109,200,46,F,inferior
,,,,,,,
Polo,polo,cintura,66,71,XS,M,top
Polo,polo,cintura,71,78,S,M,top
Polo,polo,cintura,78,87,M,M,top
Polo,polo,cintura,87,100,L,M,top
Polo,polo,cintura,100,108,XL,M,top
Polo,polo,cintura,108,200,XXL,M,top
Polo,polo,cintura,0,74,28,M,inferior
Polo,polo,cintura,74,79,30,M,inferior
Polo,polo,cintura,79,82,32,M,inferior
Polo,polo,cintura,82,85,33,M,inferior
Polo,polo,cintura,85,89,34,M,inferior
Polo,polo,cintura,89,94,36,M,inferior
Polo,polo,cintura,94,99,38,M,inferior
Polo,polo,cintura,99,104,40,M,inferior
Polo,polo,cintura,104,109,42,M,inferior
Polo,polo,cintura,109,200,44,M,inferior
,,,,,,,
Mossimo,mossimo,pecho,0,100,S,M,top
Mossimo,mossimo,pecho,100,106,M,M,top
Mossimo,mossimo,pecho,106,112,L,M,top
Mossimo,mossimo,pecho,112,118,XL,M,top
Mossimo,mossimo,pecho,118,200,XXL,M,top
Mossimo,mossimo,cintura,0,82,S,M,top
Mossimo,mossimo,cintura,82,88,M,M,top
Mossimo,mossimo,cintura,88,94,L,M,top
Mossimo,mossimo,cintura,94,100,XL,M,top
Mossimo,mossimo,cintura,100,200,XXL,M,top
Mossimo,mossimo,caderas,0,102,S,M,top
Mossimo,mossimo,caderas,102,108,M,M,top
Mossimo,mossimo,caderas,108,114,L,M,top
Mossimo,mossimo,caderas,114,120,XL,M,top
Mossimo,mossimo,caderas,120,200,XXL,M,top
Mossimo,mossimo,cintura,0,83,40,M,inferior
Mossimo,mossimo,cintura,83,87,42,M,inferior
Mossimo,mossimo,cintura,87,91,44,M,inferior
Mossimo,mossimo,cintura,91,95,46,M,inferior
Mossimo,mossimo,cintura,95,99,48,M,inferior
Mossimo,mossimo,cintura,99,200,50,M,inferior
Mossimo,mossimo,caderas,0,97,40,M,inferior
Mossimo,mossimo,caderas,97,101,42,M,inferior
Mossimo,mossimo,caderas,101,105,44,M,inferior
Mossimo,mossimo,caderas,105,109,46,M,inferior
Mossimo,mossimo,caderas,109,113,48,M,inferior
Mossimo,mossimo,caderas,113,200,50,M,inferior
,,,,,,,
Levis,levis,pecho,0,96,S,M,top
Levis,levis,pecho,96,104,M,M,top
Levis,levis,pecho,104,111,L,M,top
Levis,levis,pecho,111,119,XL,M,top
Levis,levis,pecho,119,200,XXL,M,top
Levis,levis,cintura,0,81,S,M,top
Levis,levis,cintura,81,88,M,M,top
Levis,levis,cintura,88,96,L,M,top
Levis,levis,cintura,96,104,XL,M,top
Levis,levis,cintura,104,200,XXL,M,top
Levis,levis,caderas,0,96,S,M,top
Levis,levis,caderas,96,104,M,M,top
Levis,levis,caderas,104,111,L,M,top
Levis,levis,caderas,111,119,XL,M,top
Levis,levis,caderas,119,200,XXL,M,top
Levis,levis,cintura,0,77,28,M,inferior
Levis,levis,cintura,77,80,30,M,inferior
Levis,levis,cintura,80,82,31,M,inferior
Levis,levis,cintura,82,85,32,M,inferior
Levis,levis,cintura,85,87,33,M,inferior
Levis,levis,cintura,87,92,34,M,inferior
Levis,levis,cintura,92,97,36,M,inferior
Levis,levis,cintura,97,102,38,M,inferior
Levis,levis,cintura,102,107,40,M,inferior
Levis,levis,cintura,107,113,42,M,inferior
Levis,levis,cintura,113,200,44,M,inferior
Levis,levis,caderas,0,91,28,M,inferior
Levis,levis,caderas,91,93,30,M,inferior
Levis,levis,caderas,93,96,31,M,inferior
Levis,levis,caderas,96,98,32,M,inferior
Levis,levis,caderas,98,101,33,M,inferior
Levis,levis,caderas,101,106,34,M,inferior
Levis,levis,caderas,106,111,36,M,inferior
Levis,levis,caderas,111,116,38,M,inferior
Levis,levis,caderas,116,121,40,M,inferior
Levis,levis,caderas,121,126,42,M,inferior
Levis,levis,caderas,126,200,44,M,inferior
,,,,,,,
Lacoste,lacoste,pecho,0,97,S,M,top
Lacoste,lacoste,pecho,97,105,M,M,top
Lacoste,lacoste,pecho,105,113,L,M,top
Lacoste,lacoste,pecho,113,121,XL,M,top
Lacoste,lacoste,pecho,121,200,XXL,M,top
Lacoste,lacoste,cintura,0,85,S,M,top
Lacoste,lacoste,cintura,85,93,M,M,top
Lacoste,lacoste,cintura,93,101,L,M,top
Lacoste,lacoste,cintura,101,111,XL,M,top
Lacoste,lacoste,cintura,111,200,XXL,M,top
Lacoste,lacoste,caderas,0,96,S,M,top
Lacoste,lacoste,caderas,96,104,M,M,top
Lacoste,lacoste,caderas,104,112,L,M,top
Lacoste,lacoste,caderas,112,118,XL,M,top
Lacoste,lacoste,caderas,118,200,XXL,M,top
Lacoste,lacoste,cintura,0,79,36,M,inferior
Lacoste,lacoste,cintura,79,83,38,M,inferior
Lacoste,lacoste,cintura,83,87,40,M,inferior
Lacoste,lacoste,cintura,87,91,42,M,inferior
Lacoste,lacoste,cintura,91,95,44,M,inferior
Lacoste,lacoste,cintura,95,99,46,M,inferior
Lacoste,lacoste,cintura,99,103,48,M,inferior
Lacoste,lacoste,cintura,103,200,50,M,inferior
Lacoste,lacoste,caderas,0,90,36,M,inferior
Lacoste,lacoste,caderas,90,94,38,M,inferior
Lacoste,lacoste,caderas,94,98,40,M,inferior
Lacoste,lacoste,caderas,98,102,42,M,inferior
Lacoste,lacoste,caderas,102,106,44,M,inferior
Lacoste,lacoste,caderas,106,110,46,M,inferior
Lacoste,lacoste,caderas,110,114,48,M,inferior
Lacoste,lacoste,caderas,114,200,50,M,inferior
,,,,,,,
La Martina,lamartina,pecho,0,102,S,M,top
La Martina,lamartina,pecho,102,108,M,M,top
La Martina,lamartina,pecho,108,114,L,M,top
La Martina,lamartina,pecho,114,120,XL,M,top
La Martina,lamartina,pecho,120,200,XXL,M,top
La Martina,lamartina,cintura,0,84,S,M,top
La Martina,lamartina,cintura,84,90,M,M,top
La Martina,lamartina,cintura,90,96,L,M,top
La Martina,lamartina,cintura,96,102,XL,M,top
La Martina,lamartina,cintura,102,200,XXL,M,top
La Martina,lamartina,caderas,0,104,S,M,top
La Martina,lamartina,caderas,104,110,M,M,top
La Martina,lamartina,caderas,110,116,L,M,top
La Martina,lamartina,caderas,116,122,XL,M,top
La Martina,lamartina,caderas,122,200,XXL,M,top
La Martina,lamartina,cintura,0,84,40,M,inferior
La Martina,lamartina,cintura,84,88,42,M,inferior
La Martina,lamartina,cintura,88,92,44,M,inferior
La Martina,lamartina,cintura,92,96,46,M,inferior
La Martina,lamartina,cintura,96,100,48,M,inferior
La Martina,lamartina,cintura,100,200,50,M,inferior
La Martina,lamartina,caderas,0,98,40,M,inferior
La Martina,lamartina,caderas,98,102,42,M,inferior
La Martina,lamartina,caderas,102,106,44,M,inferior
La Martina,lamartina,caderas,106,110,46,M,inferior
La Martina,lamartina,caderas,110,114,48,M,inferior
La Martina,lamartina,caderas,114,200,50,M,inferior
,,,,,,,
Ecko,ecko,pecho,0,100,S,M,top
Ecko,ecko,pecho,100,106,M,M,top
Ecko,ecko,pecho,106,112,L,M,top
Ecko,ecko,pecho,112,118,XL,M,top
Ecko,ecko,pecho,118,200,XXL,M,top
Ecko,ecko,cintura,0,82,S,M,top
Ecko,ecko,cintura,82,88,M,M,top
Ecko,ecko,cintura,88,94,L,M,top
Ecko,ecko,cintura,94,100,XL,M,top
Ecko,ecko,cintura,100,200,XXL,M,top
Ecko,ecko,caderas,0,102,S,M,top
Ecko,ecko,caderas,102,108,M,M,top
Ecko,ecko,caderas,108,114,L,M,top
Ecko,ecko,caderas,114,120,XL,M,top
Ecko,ecko,caderas,120,200,XXL,M,top
Ecko,ecko,cintura,0,84,40,M,inferior
Ecko,ecko,cintura,84,88,42,M,inferior
Ecko,ecko,cintura,88,92,44,M,inferior
Ecko,ecko,cintura,92,96,46,M,inferior
Ecko,ecko,cintura,96,100,48,M,inferior
Ecko,ecko,cintura,100,200,50,M,inferior
Ecko,ecko,caderas,0,98,40,M,inferior
Ecko,ecko,caderas,98,102,42,M,inferior
Ecko,ecko,caderas,102,106,44,M,inferior
Ecko,ecko,caderas,106,110,46,M,inferior
Ecko,ecko,caderas,110,114,48,M,inferior
Ecko,ecko,caderas,114,200,50,M,inferior
,,,,,,,
Dockers,dockers,pecho,0,88,XS,M,top
Dockers,dockers,pecho,88,96,S,M,top
Dockers,dockers,pecho,96,104,M,M,top
Dockers,dockers,pecho,104,111,L,M,top
Dockers,dockers,pecho,111,200,XL,M,top
Dockers,dockers,cintura,200,73,XS,M,top
Dockers,dockers,cintura,73,81,S,M,top
Dockers,dockers,cintura,81,88,M,M,top
Dockers,dockers,cintura,88,96,L,M,top
Dockers,dockers,cintura,96,200,XL,M,top
Dockers,dockers,caderas,200,89,XS,M,top
Dockers,dockers,caderas,89,96,S,M,top
Dockers,dockers,caderas,96,104,M,M,top
Dockers,dockers,caderas,104,111,L,M,top
Dockers,dockers,caderas,111,200,XL,M,top
Dockers,dockers,cintura,0,75,28,M,inferior
Dockers,dockers,cintura,75,80,30,M,inferior
Dockers,dockers,cintura,80,83,32,M,inferior
Dockers,dockers,cintura,83,85,33,M,inferior
Dockers,dockers,cintura,85,91,34,M,inferior
Dockers,dockers,cintura,91,96,36,M,inferior
Dockers,dockers,cintura,96,101,38,M,inferior
Dockers,dockers,cintura,101,106,40,M,inferior
Dockers,dockers,cintura,106,111,42,M,inferior
Dockers,dockers,cintura,111,200,44,M,inferior
Dockers,dockers,caderas,0,91,28,M,inferior
Dockers,dockers,caderas,91,96,30,M,inferior
Dockers,dockers,caderas,96,98,32,M,inferior
Dockers,dockers,caderas,98,100,33,M,inferior
Dockers,dockers,caderas,100,105,34,M,inferior
Dockers,dockers,caderas,105,107,36,M,inferior
Dockers,dockers,caderas,107,110,38,M,inferior
Dockers,dockers,caderas,110,113,40,M,inferior
Dockers,dockers,caderas,113,117,42,M,inferior
Dockers,dockers,caderas,117,200,44,M,inferior
,,,,,,,
Americanino,americanino,pecho,0,100,S,M,top
Americanino,americanino,pecho,100,106,M,M,top
Americanino,americanino,pecho,106,112,L,M,top
Americanino,americanino,pecho,112,118,XL,M,top
Americanino,americanino,pecho,118,200,XXL,M,top
Americanino,americanino,cintura,0,82,S,M,top
Americanino,americanino,cintura,82,88,M,M,top
Americanino,americanino,cintura,88,94,L,M,top
Americanino,americanino,cintura,94,100,XL,M,top
Americanino,americanino,cintura,100,200,XXL,M,top
Americanino,americanino,caderas,0,102,S,M,top
Americanino,americanino,caderas,102,108,M,M,top
Americanino,americanino,caderas,108,114,L,M,top
Americanino,americanino,caderas,114,120,XL,M,top
Americanino,americanino,caderas,120,200,XXL,M,top
Americanino,americanino,cintura,0,84,40,M,inferior
Americanino,americanino,cintura,84,88,42,M,inferior
Americanino,americanino,cintura,88,92,44,M,inferior
Americanino,americanino,cintura,92,96,46,M,inferior
Americanino,americanino,cintura,96,100,48,M,inferior
Americanino,americanino,cintura,100,200,50,M,inferior
Americanino,americanino,caderas,0,98,40,M,inferior
Americanino,americanino,caderas,98,102,42,M,inferior
Americanino,americanino,caderas,102,106,44,M,inferior
Americanino,americanino,caderas,106,110,46,M,inferior
Americanino,americanino,caderas,110,114,48,M,inferior
Americanino,americanino,caderas,114,200,50,M,inferior
,,,,,,,
Bearcliff,bearcliff,pecho,0,98,S,M,top
Bearcliff,bearcliff,pecho,98,104,M,M,top
Bearcliff,bearcliff,pecho,104,110,L,M,top
Bearcliff,bearcliff,pecho,110,116,XL,M,top
Bearcliff,bearcliff,pecho,116,200,XXL,M,top
Bearcliff,bearcliff,cintura,0,80,S,M,top
Bearcliff,bearcliff,cintura,80,86,M,M,top
Bearcliff,bearcliff,cintura,86,92,L,M,top
Bearcliff,bearcliff,cintura,92,98,XL,M,top
Bearcliff,bearcliff,cintura,98,200,XXL,M,top
Bearcliff,bearcliff,caderas,0,102,S,M,top
Bearcliff,bearcliff,caderas,102,108,M,M,top
Bearcliff,bearcliff,caderas,108,114,L,M,top
Bearcliff,bearcliff,caderas,114,120,XL,M,top
Bearcliff,bearcliff,caderas,120,200,XXL,M,top
Bearcliff,bearcliff,cintura,0,84,40,M,inferior
Bearcliff,bearcliff,cintura,84,88,42,M,inferior
Bearcliff,bearcliff,cintura,88,92,44,M,inferior
Bearcliff,bearcliff,cintura,92,96,46,M,inferior
Bearcliff,bearcliff,cintura,96,100,48,M,inferior
Bearcliff,bearcliff,cintura,100,200,50,M,inferior
Bearcliff,bearcliff,caderas,0,98,40,M,inferior
Bearcliff,bearcliff,caderas,98,102,42,M,inferior
